Hour,Day,Value
23,6,35
22,6,44
21,6,54
20,6,62
19,6,87
18,6,114
17,6,170
16,6,221
15,6,244
14,6,229
13,6,299
12,6,230
11,6,218
10,6,189
9,6,116
8,6,84
7,6,34
6,6,12
5,6,5
4,6,1
3,6,5
2,6,5
1,6,11
0,6,14
23,5,33
22,5,66
21,5,68
20,5,76
19,5,157
18,5,346
17,5,497
16,5,283
15,5,186
14,5,125
13,5,166
12,5,180
11,5,169
10,5,173
9,5,396
8,5,542
7,5,243
6,5,85
5,5,21
4,5,6
3,5,2
2,5,1
1,5,5
0,5,15
23,4,30
22,4,47
21,4,65
20,4,120
19,4,126
18,4,183
17,4,248
16,4,119
15,4,80
14,4,55
13,4,74
12,4,75
11,4,76
10,4,110
9,4,278
8,4,480
7,4,286
6,4,105
5,4,19
4,4,4
3,4,3
2,4,4
1,4,6
0,4,11
23,3,33
22,3,69
21,3,120
20,3,175
19,3,241
18,3,440
17,3,547
16,3,322
15,3,169
14,3,123
13,3,167
12,3,189
11,3,142
10,3,196
9,3,502
8,3,601
7,3,337
6,3,97
5,3,28
4,3,3
3,3,0
2,3,1
1,3,3
0,3,12
23,2,33
22,2,51
21,2,114
20,2,128
19,2,238
18,2,438
17,2,572
16,2,311
15,2,188
14,2,123
13,2,141
12,2,153
11,2,104
10,2,162
9,2,468
8,2,622
7,2,294
6,2,84
5,2,23
4,2,7
3,2,1
2,2,2
1,2,8
0,2,11
23,1,15
22,1,42
21,1,47
20,1,70
19,1,115
18,1,152
17,1,200
16,1,193
15,1,167
14,1,155
13,1,162
12,1,145
11,1,145
10,1,128
9,1,139
8,1,161
7,1,83
6,1,26
5,1,9
4,1,4
3,1,1
2,1,7
1,1,8
0,1,22
23,7,28
22,7,31
21,7,46
20,7,43
19,7,72
18,7,82
17,7,109
16,7,147
15,7,144
14,7,160
13,7,193
12,7,168
11,7,168
10,7,117
9,7,104
8,7,31
7,7,24
6,7,5
5,7,5
4,7,4
3,7,2
2,7,7
1,7,14
0,7,21